RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
11529,Fredericksburg,Virginia,153,274200,267200,253700,248300,244200,249e3,240300,237300,226800,214800,213300,209900,213500,194500,192200,182300,195200,192500,195100,189300,189e3,191800,194900,195400,195400,192600,200700,197300,201800,190200,196300,189500,196900,198700,199200,192800,182400,182900,185800,189500,189800,188300,196200,205500,209800,209600,197400,196400,193900,197800,202100,200800,205700,207600,210200,209200,209e3,209500,215300,221200,222e3,222100,220300,228200,226300,228700,225400,227400,229300,226200,225500,224200,227800,231700,235200,233300,236600,231800,239100,239500,242600,249100,254300,255300,249500,240600,238200,236300,239900,246200,249300,247800,247600,247400,250800,248700,249800,250400,255500,257700,256200,255700,253900,258400,257700,259500,257800,259200,264400,267100,266400,262400,263800,263700,265400,264700,265100,269900,277800,283300,287900,281e3,279800,269e3,273700,27e4,270800,268200,276600,285100,287500,
40227,Palmdale,California,154,,,,,,,,,,,,,,,,,,,131200,131500,132900,140700,142300,146600,143200,145500,148700,148600,150300,143300,143800,141400,143500,143e3,144100,143300,142700,142e3,142e3,139900,139600,135100,136e3,136100,139400,140200,138300,137800,136300,136400,134500,134700,135900,135e3,136100,135800,139400,144600,150600,150500,149900,152200,166500,173600,18e4,176800,181500,180700,181200,177800,179800,184e3,185700,185700,190800,196900,200600,197300,196100,201500,205300,208700,207e3,21e4,215200,22e4,221300,220900,222300,227e3,225500,227800,228500,239600,241800,241400,244e3,245700,245800,240400,240800,251300,255600,256200,257400,260100,263600,264700,266400,270400,271e3,273e3,272e3,272800,278300,282300,288e3,288800,296500,298200,299100,296900,303300,305600,310500,303500,302700,298200,297100,297e3,306700,310300
30742,Cape Coral,Florida,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93200,91600,91800,93200,92900,92500,92700,93900,95500,96200,98900,98500,101300,101e3,102500,104300,106600,110700,111700,115300,118800,118500,120200,118200,120900,120600,124900,126500,128500,128900,131700,134100,138300,139200,142900,142200,142400,140600,140900,146900,147600,146300,144200,145800,149e3,149600,149700,149900,152600,153500,156200,156e3,157e3,157300,158600,162300,164500,168900,169500,170200,169500,171e3,172900,174800,178500,181100,180700,176100,173400,171800,176900,181200,184700,186600,189500,190100,192900,194600,197800,198200,199500,202300,203800,206400,207800,211200,210400,207300,203100,209e3,221900,227500,228100,222400,221600,218600,217300,217800,221300,221100,220700,,
47584,Savannah,Georgia,156,143e3,145e3,150800,148900,146600,140100,140400,135200,135200,137200,137300,144100,146e3,148500,143900,137600,137400,131500,131800,129400,135100,138500,132800,126600,120800,123700,126100,125700,128900,125500,129600,118800,123400,127800,135100,131e3,122200,119500,124e3,114800,112e3,102500,113e3,117600,124300,123100,123600,117300,112700,111400,115500,116600,118500,115800,117200,113500,118e3,120400,123900,123800,120700,117600,117600,122900,127e3,131600,134400,135e3,131600,136700,138500,138900,133200,132400,133400,132500,135200,136900,140600,136700,137800,134100,136e3,139500,148300,153800,164500,162300,162200,150200,148700,148500,146900,148300,152100,154e3,151900,148200,152400,153600,153200,152200,153300,162300,164400,166900,162400,162300,165e3,167300,166e3,167100,163500,161200,156300,157100,162900,165100,161300,166700,166500,173600,166400,168600,165e3,162700,162900,168600,174200,172400,172200,
26140,Newport News,Virginia,157,191100,190500,184300,180500,182800,187900,189e3,19e4,186e3,179200,182900,188700,192200,181700,176300,174400,173200,175300,175600,177900,177100,180500,184200,187600,182600,178200,169200,170200,167e3,165100,159200,153100,155200,159700,171500,162100,152100,141100,147400,151200,150900,153400,148400,149600,141400,142100,133500,141700,140500,149100,144300,143400,144100,141800,152700,148500,151900,144600,146800,148300,154300,157e3,153e3,146600,147500,145900,150900,149400,149800,146400,148400,150500,151700,146800,145800,147600,144400,142200,134200,129300,134e3,139800,143200,144700,143400,148800,146400,151400,154900,16e4,159600,160700,155500,154600,157900,158900,158300,158800,164100,166400,164900,166400,166300,164100,161900,161400,159700,157300,155900,156900,161700,161e3,162800,161300,165500,166700,170400,172300,177100,170600,171800,169300,172400,171400,169700,171500,169600,169300,166300,168900,172600,
6792,Roanoke,Virginia,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147300,134700,131500,135100,135e3,135800,135500,140700,147100,153900,148600,144700,139600,141600,145500,146800,149600,147400,149800,149700,149300,145500,146900,146e3,142600,141600,146800,149200,147300,145700,152200,154300,149400,150600,148800,
38333,El Cajon,California,159,323200,317400,306800,293800,283400,274e3,272600,258700,249700,237400,231800,221700,227300,222500,234300,234500,241300,255100,260900,268500,263700,271400,270200,271400,268800,275800,278600,279500,282100,281700,277300,268900,264700,262300,249300,252700,258300,264400,256200,25e4,261400,276e3,277800,281700,277900,281600,275200,267800,266400,267e3,273400,273400,277500,283e3,295e3,295e3,295300,300900,312700,313800,325700,327e3,333100,330200,346e3,345100,344300,339400,349200,348e3,346800,355e3,359700,367200,368700,365700,365400,367600,371200,372600,369700,380800,380700,395100,399700,407e3,404e3,400200,399100,396700,408200,412500,408500,405600,409400,413700,414400,409200,412500,416400,423300,472700,469300,466200,427200,432900,442300,438e3,435100,434100,434900,442900,445800,455800,460400,465e3,469600,471e3,471300,467500,461300,465600,466300,476200,491e3,499300,503500,494e3,488300,495900,493e3,493700
17950,Elk Grove,California,160,302300,289300,274400,261100,259200,261400,258700,257100,252600,250600,247100,241e3,239400,236500,236800,231600,228600,230700,235800,238100,237500,236300,233e3,232700,234e3,234700,233400,228300,228900,227800,226200,225100,224700,225100,219700,217600,213700,212900,205400,202300,198200,199700,199300,204400,204600,206900,206900,205600,206400,203900,210100,212600,217400,219300,229300,233500,239500,237900,244300,248300,260700,263300,267400,267300,273100,278500,282300,284700,291900,295700,304200,299800,299500,295900,299700,302100,307200,310500,311500,308300,309200,311900,314100,316e3,317900,322800,324200,323500,322600,323700,327200,331800,335500,337800,339700,343600,348600,351200,354100,351400,351600,350700,357600,362800,366100,360800,369500,373600,381300,380200,380800,388900,390900,394500,393700,400500,403800,406700,406500,412700,419400,426100,427300,430200,426700,429200,427e3,434700,436600,434800,423700,413100
40298,Peoria,Arizona,161,242800,227200,218800,213600,213500,205800,207700,202100,206100,188800,184800,175200,178900,167500,158500,153400,154500,154800,155900,152700,158200,158400,166500,167100,170300,162400,155200,151300,153100,148600,144200,137100,144800,141700,146500,143200,141100,134100,129700,129600,127800,124e3,122300,126700,133600,134200,132500,125e3,128900,129e3,136300,138400,140200,136700,135500,137700,149200,152700,159300,155700,162900,163600,167300,162700,164700,158900,164400,163200,170400,171100,172700,175300,175400,176e3,173700,175400,174800,178600,176500,180300,175800,178800,175900,183800,186300,192500,195700,196400,198100,194500,199100,198100,198700,199e3,200600,201500,200800,203400,218900,226400,23e4,224700,223700,226600,234800,249300,256700,254900,247700,246200,246200,249600,252900,251200,256200,263200,277e3,278400,282400,277700,270600,255300,247400,247400,253800,251400,249700,246700,256700,255600,268400,268300
39931,Naperville,Illinois,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,320800,325800,344100,350400,349800,358400,349400,344800,331800,347300,333400,315900,314600,328300,331400,322500,319900,323400,315100,298500,280400,299600,309200,331800,325200,352700,349e3,357800,339600,355900,355e3,349700,344100,334300,336600,334500,335900,343800,337800,346900,353800,356e3,355400,348e3,345800,351300,350200,351900,334200,337900,346600,357800,36e4,359200,347600,347800,346600,344900,342700,339200,346600,343300,342400,340600,338300,329200,324800,317800,315100,311400,310500,316800,317900,316200,322100,316800,315800,313900,321300,331600,333200,352800,355e3,351e3,341100,334300,327700,313300,306e3,325200,331300,337600,318800,336500,334700,338700,337100,359100,379400,377900,369700,365800,359900,362700,353500
